Frequency (Hz), Magnitude (dB)
13253.906250, -0.954264
13265.625000, -0.732721
13277.343750, -0.509536
13289.062500, -0.287034
13300.781250, -0.067364
13312.500000, 0.147514
13324.218750, 0.355827
13335.937500, 0.555983
13347.656250, 0.746566
13359.375000, 0.926322
13371.093750, 1.094155
13382.812500, 1.249107
13394.531250, 1.390350
13406.250000, 1.517176
13417.968750, 1.628982
13429.687500, 1.725266
13441.406250, 1.805613
13453.125000, 1.869690
13464.843750, 1.917242
13476.562500, 1.948082
13488.281250, 1.962094
13500.000000, 1.959224
13511.718750, 1.939485
13523.437500, 1.902952
13535.156250, 1.849767
13546.875000, 1.780142
13558.593750, 1.694358
13570.312500, 1.592777
13582.031250, 1.475845
13593.750000, 1.344099
13605.468750, 1.198178
